prenom,genre,signification,origine
ADERYN,f,"Means ""bird"" in Welsh. This is a modern Welsh name.",[Welsh]
ÁDHAMH,m,form of ADAM.,[Irish]
ADHIAMBO,f,Feminine form of ODHIAMBO.,"[Eastern African, Luo]"
ADI  (2), (2),"Means ""first"" in Indonesian, ultimately from Sanskrit आदि (adi).",[Indonesian]
ADİL,m,form of ADIL.,[Turkish]
ADILA,f,Feminine form of ADIL.,[Arabic]
ADILET,m,"Means ""justice"" in Kyrgyz, ultimately from Arabic.",[Kyrgyz]
ADINA  (2), (2),short form of ADELINA.,[Romanian]
ADINO,m,"Means ""ornament"" in Hebrew. In the Old Testament this is the name of one of King David's mighty men.",[Biblical]
ADISA,m,"Means ""one who is clear"" in Yoruba.","[Western African, Yoruba]"
ADITYA,m,"Means ""belonging to ADITI"" in Sanskrit. This is a name for the seven (or eight) Hindu gods who are the children of Aditi. It is also another name for the sun god Surya.","[Hinduism, Indian, Hindi, Marathi, Malayalam, Kannada, Telugu, Tamil, Nepali, Indonesian]"
ADLAI,m,form of ADALIA. This is the name of the father of one of King David's herdsmen in the Old Testament.,"[Biblical, Biblical Hebrew]"
ADOLF,m,"From the Germanic name Adalwolf, which meant ""noble wolf"" from the Germanic elements adal ""noble"" and wulf. It was borne by several Swedish kings as a first or second name, most notably by Gustav II Adolf in the 17th century. Association with Adolf Hitler (1889-1945), the leader of the Nazi party in Germany during World War II, has lessened the use of this name.","[German, Dutch, Swedish, Norwegian, Danish, Czech, Hungarian, Ancient Germanic]"
ADOLFO,m,form of ADOLF.,"[Italian, Spanish]"
ADOLPHE,m,form of ADOLF.,[French]
ADOMAS,m,form of ADAM.,[Lithuanian]
ADONIJAH,m,"Means ""my lord is YAHWEH"" in Hebrew. This is the name of one of King David's sons in the Old Testament. Though he was the eldest surviving son of David, he was passed over as heir to the throne in favour of Solomon.",[Biblical]
ADONIS,m,"From the Semitic Adonai, which means ""lord"". In Greek myth Adonis was a handsome young shepherd killed while hunting a wild boar. The anemone flower is said to have sprung from his blood. Because he was loved by Aphrodite, Zeus allowed him to be restored to life for part of each year. The Greeks borrowed this character from various Semitic traditions, hence the Semitic origins of the name.",[Greek Mythology]
ADORA,f,Short form of ADORACIÓN.,[Spanish]
ADORINDA,f,"Means ""adorable"" in Esperanto.",[Esperanto]
ADRASTEA,f,form of ADRASTEIA. One of Jupiter's moons bears this name.,[Greek Mythology (Latinized)]
ADRASTOS,m,"Means ""not inclined to run away"" in Greek. This was the name of a king of Argos in Greek legend.",[Greek Mythology]
ADRIÀ,m,form of ADRIAN.,[Catalan]
ADRIÁN,m,form of Hadrianus (see HADRIAN).,"[Spanish, Hungarian]"
ADRIANA,f,Feminine form of ADRIAN.,"[Italian, Spanish, Portuguese, Romanian, Polish, Czech, Slovak, English]"
ADRIANNE,f,Feminine form of ADRIAN.,[English]
ADRIANUS,m,"form of ADRIAN, used on birth certificates but not commonly in daily life.",[Dutch]
ADRIENN,f,feminine form of ADRIAN.,[Hungarian]
ADRIJAN,m,form of ADRIAN.,"[Croatian, Macedonian]"
ADVA,f,"Means ""small wave, ripple"" in Hebrew.",[Hebrew]
ÆBBE,f,form of EBBA  (2).,[Anglo-Saxon]
ÁEDÁN,m,form of AODHÁN. This was the name of a 6th-century king of the Scots.,"[Ancient Irish, Irish Mythology]"
AEGIDIUS,m,form of GILES.,[Late Roman]
ÆLFGAR,m,form of ALGAR.,[Anglo-Saxon]
ÆLFHEAH,m,"Derived from the Old English elements ælf ""elf"" and heah ""high"". This was the name of an 11th-century archbishop of Canterbury, a saint and martyr, who is commonly known as Alphege or Elphege.",[Anglo-Saxon]
ÆLFRÆD,m,form of ALFRED.,[Anglo-Saxon]
ÆLFRIC,m,"Derived from the Old English elements ælf ""elf"" and ric ""power, rule"".",[Anglo-Saxon]
ÆLFSTAN,m,"Derived from the Old English elements ælf ""elf"" and stan ""stone"".",[Anglo-Saxon]
ÆLFÞRYÐ,f,form of ELFREDA.,[Anglo-Saxon]
ÆLFWEARD,m,"Derived from the Old English elements ælf ""elf"" and weard ""guardian"".",[Anglo-Saxon]
ÆLFWINE,m,"Derived from the Old English elements ælf ""elf"" and wine ""friend"". This name was not commonly used after the Norman conquest.",[Anglo-Saxon]
AELIANA,f,Feminine form of AELIANUS.,[Ancient Roman]
AELIUS,m,"derived from the Greek word ‘ηλιος (helios) meaning ""sun"". This was the family name of the Roman emperor Hadrian.",[Ancient Roman]
ÆLRED,m,form of ÆÐELRÆD. This was the name of a 12th-century English saint.,[Anglo-Saxon]
AEMILIANA,f,Feminine form of Aemilianus (see EMILIANO).,[Ancient Roman]
AEMILIUS,m,form of EMIL.,[Ancient Roman]
AENGUS,m,Variant of AONGHUS.,[Irish]
AEOLUS,m,form of AIOLOS.,[Greek Mythology (Latinized)]
AERON  (2), (2),form of AGRONA. In Welsh mythology Aeron was often portrayed as a masculine deity.,[Welsh Mythology]
AERONWEN,f,"AERONWEN   f   WelshCombination of AERON  (1) and the suffix gwen meaning ""white, fair, blessed"".",[Welsh]
ÆSC,m,"Means ""ash tree"" in Old English. This was the nickname of a 5th-century king of Kent, whose birth name was Oeric.",[Anglo-Saxon]
AESON,m,"From the Greek Αισων (Aison), which is of unknown meaning. Aeson was the father of Jason in Greek mythology.",[Greek Mythology (Latinized)]
ÆÞELBEORHT,m,Variant of ÆÐELBERHT.,[Anglo-Saxon]
ÆÐELFLÆD,f,form of ELFLEDA.,[Anglo-Saxon]
ÆÐELFRIÐ,m,"Derived from the Old English elements æðel ""noble"" and friþ ""peace"". The name was rarely used after the Norman conquest.",[Anglo-Saxon]
ÆÐELMÆR,m,"Derived from the Old English elements æðel ""noble"" and mær ""famous"". It is a cognate of ADELMAR.",[Anglo-Saxon]
ÆÐELRÆD,m,"Derived from the Old English elements æðel ""noble"" and ræd ""counsel"". This was the name of two Saxon kings of England including Æðelræd II ""the Unready"" whose realm was overrun by the Danes in the early 11th century. The name was rarely used after the Norman conquest.",[Anglo-Saxon]
ÆTHELRED,m,Variant of ÆÐELRÆD.,[Anglo-Saxon]
ÆTHELRIC,m,Variant of ÆÐELRIC.,[Anglo-Saxon (Latinized)]
ÆTHELSTAN,m,Variant of ÆÐELSTAN.,[Anglo-Saxon]
ÆTHELTHRYTH,f,Variant of ÆÐELÞRYÐ.,[Anglo-Saxon]
ÆÐELWINE,m,"Derived from the Old English elements æðel ""noble"" and wine ""friend"". This name became rare after the Norman conquest. Saint Æðelwine was a 7th-century bishop of Lindsey, England.",[Anglo-Saxon]
AETIUS,m,"derived from Greek αετος (aetos) ""eagle"". A famous bearer was the 5th-century Roman general Flavius Aetius, who defeated Attila the Hun at the Battle of Chalons.",[Ancient Roman]
AFANASIY,m,form of ATHANASIUS.,[Russian]
AFANEN,f,"Means ""raspberry"" in Welsh. This is a modern Welsh name.",[Welsh (Rare)]
AFIA,f,Variant of AFUA.,"[Western African, Akan]"
AFOLABI,m,"Means ""born into wealth"" in Yoruba.","[Western African, Yoruba]"
AFONSO,m,form of ALFONSO.,"[Portuguese, Galician]"
AFRA  (2), (2),"Means ""whitish red"" in Arabic.",[Arabic]
AFRICA  (1), (1),"From the name of the continent, which is of Latin origin, possibly from the Afri people who lived near Carthage in North Africa. This rare name is used most often by African-American parents.",[African American (Rare)]
AFRICANUS,m,"derived from the place name AFRICA, which in Roman times referred only to North Africa. This was the agnomen of the 3rd-century BC Roman general Scipio Africanus, who was honoured with it after his victory over Carthage in the Second Punic War. His descendants used it as a cognomen.",[Ancient Roman]
AFRODITI,f,form of APHRODITE.,[Greek]
AFZAL,m,"Means ""better, superior"" in Arabic.",[Arabic]
AGAM,f,"Means ""lake"" in Hebrew.",[Hebrew]
AGAPE,f,"Derived from Greek αγαπη (agape) meaning ""love"". This name was borne by at least two early saints.","[Greek, Ancient Greek]"
AGAPETUS,m,form of the Greek name Agapetos (see AGAPITO).,[Ancient Greek (Latinized)]
AGAPITO,m,"From the Late Latin name Agapitus or Agapetus which was derived from the Greek name Αγαπητος (Agapetos) meaning ""beloved"". The name Agapetus was borne by two popes.","[Spanish, Italian]"
AGÁTA,f,form of AGATHA.,[Czech]
AGATHA,f,"form of the Greek name Αγαθη (Agathe), derived from Greek αγαθος (agathos) meaning ""good"". Saint Agatha was a 3rd-century martyr from Sicily who was tortured and killed after spurning the advances of a Roman official. The saint was widely revered in the Middle Ages, and her name has been used throughout Christian Europe (in various spellings). The mystery writer Agatha Christie (1890-1976) was a famous modern bearer of this name.","[English, Ancient Greek (Latinized)]"
AGATHE,f,"AGATHE   f   French, German, Norwegian, Danish, Greek, Ancient GreekCognate of AGATHA.","[French, German, Norwegian, Danish, Greek, Ancient Greek]"
AGAUE,f,"Means ""illustrious, noble"" in Greek. This was the mother of Pentheus in Greek myth.",[Greek Mythology]
ÅGE,m,form of ÁKI.,[Norwegian]
AGE  (2), (2),form of AGNES.,[Estonian]
AGHAVNI,f,"Means ""dove"" in Armenian.",[Armenian]
ÁGI,f,ÁGI   f   HungarianDiminutive of ÁGOTA or ÁGNES.,[Hungarian]
AGILMAR,m,form of ELMAR.,[Ancient Germanic]
AGIM,m,"Means ""dawn"" in Albanian.",[Albanian]
AGLAEA,f,form of AGLAIA.,[Greek Mythology (Latinized)]
AGLAYA,f,form of AGLAIA.,[Russian]
AGNAR,m,"From the Old Norse name Agnarr, derived from agi ""awe, terror"" or ag ""edge of a sword"" combined with arr ""warrior"".","[Norwegian, Icelandic]"
AGNĖ,f,form of AGNES.,[Lithuanian]
ÁGNES,f,form of AGNES.,[Hungarian]
AGNES,f,"form of the Greek name ‘Αγνη (Hagne), derived from Greek ‘αγνος (hagnos) meaning ""chaste"". Saint Agnes was a virgin martyred during the persecutions of the Roman emperor Diocletian. The name became associated with Latin agnus ""lamb"", resulting in the saint's frequent depiction with a lamb by her side. Due to her renown, the name became common in Christian Europe, being especially popular in England in the Middle Ages.","[English, German, Dutch, Swedish, Norwegian, Danish, Icelandic, Ancient Greek (Latinized)]"
AGNESE,f,form of AGNES.,"[Italian, Latvian]"
AGNETA,f,variant of AGNES.,[Swedish]
AGNETHA,f,variant of AGNES.,"[Swedish, Norwegian, Danish]"
AGNEZA,f,form of AGNES.,[Croatian]
AGNIESZKA,f,form of AGNES.,[Polish]
AGOSTINA,f,feminine form of Augustinus (see AUGUSTINE  (1)).,[Italian]
AGOSTINO,m,form of Augustinus (see AUGUSTINE  (1)).,[Italian]
ÅGOT,f,form of AGATHA.,[Norwegian]
AGRAFENA,f,form of AGRIPPINA.,[Russian]
AGRIPPINA,f,"AGRIPPINA   f   Ancient RomanFeminine derivative of AGRIPPA. This name was borne by the scheming mother of the Roman emperor Nero, who eventually had her killed. This was also the name of a 3rd-century Roman saint who is venerated in Sicily.",[Ancient Roman]
ÁGUEDA,f,form of AGATHA.,"[Spanish, Portuguese]"
AGURNE,f,"From Basque agur meaning ""greeting, salutation"".",[Basque]
AGUS,m,Variant of BAGUS.,[Indonesian]
AGUSTÍN,m,form of Augustinus (see AUGUSTINE  (1)).,[Spanish]
AH,m,"From the Chinese character 阿 (ā) which has no distinct meaning. It is not normally given as a name, but it can be prefixed to another name to make it a diminutive.",[Chinese]
AHARON,m,form of AARON.,"[Hebrew, Biblical Hebrew]"
AHENOBARBUS,m,"From a Roman cognomen meaning ""bronze beard"" in Latin. This name was borne by a series of consuls of the late Roman Republic.",[Ancient Roman]
AHMAD,m,"Means ""more commendable"" in Arabic.","[Arabic, Persian, Urdu, Pashto, Indonesian, Malay]"
AHMET,m,form of AHMAD.,[Turkish]
AHOTH,m,Form of EHUD used in the Latin Old Testament.,[Biblical Latin]
AHTAHKAKOOP,m,"Means ""star blanket"" in Cree. This was the name of an early 19th-century Cree chief.","[Native American, Cree]"
AHURA MAZDA,m,"Means ""lord of wisdom"" in Avestan. In Persian mythology Ahura Mazda was the supreme creator, and the god of light, truth, and goodness.",[Persian Mythology]
AI  (1), (1),"From Japanese 愛 (ai) meaning ""love, affection"", 藍 (ai) meaning ""indigo"", or other kanji with the same pronunciation.",[Japanese]
AIAS,m,form of AJAX.,[Greek Mythology]
AIDA,f,"Variant of AYDA. This name was used in Verdi's opera 'Aida' (1871), where it belongs to an Ethiopian princess held captive in Egypt.","[Arabic, Literature]"
AIDAY,f,"Means ""moon child"" in Kazakh.",[Kazakh]
AIDEN,m,Variant of AIDAN.,[English (Modern)]
AIGLE,f,form of AEGLE.,[Greek Mythology]
AIKATERINE,f,form of KATHERINE.,"[Greek, Ancient Greek]"
AIKO,f,"From Japanese 愛 (ai) meaning ""love, affection"" and 子 (ko) meaning ""child"", as well as other character combinations.",[Japanese]
AILBHE,f,"derived from the old Gaelic root albho meaning ""white"". In Irish legend this was the name of a female warrior of the Fianna. It was also the name of a 6th-century masculine saint.",[Irish]
AILEAS,f,form of ALICE.,[Scottish]
AILEN,f,Variant of AYLEN.,"[Native American, Mapuche]"
AILILL,m,"Means ""elf"" in Irish Gaelic. This name occurs frequently in Irish legend, borne for example by the husband of queen Medb.","[Irish, Irish Mythology]"
AILÍS,f,form of ALICE.,[Irish]
AILSA,f,"From Ailsa Craig, the name of an island off the west coast of Scotland, which is of uncertain derivation.",[Scottish]
AIMÉ,m,"From Old French Amé, the masculine form of Amée (see AMY).",[French]
AIMI,f,"From Japanese 愛 (ai) meaning ""love, affection"" and 美 (mi) meaning ""beautiful"". Other combinations of kanji characters are possible.",[Japanese]
AINA  (1), (1),"Variant of AINO. It also means ""always"" in Finnish.","[Finnish, Swedish, Norwegian, Danish]"
AINA  (3), (3),"From Japanese 愛 (ai) meaning ""love, affection"" and 菜 (na) meaning ""vegetables, greens"", as well as other character combinations.",[Japanese]
AINDRÉAS,m,form of ANDREW.,[Irish]
ÁINE,f,"Means ""radiance"" in Gaelic. This was the name of the queen of the fairies in Celtic mythology. It is also taken as an Irish form of Anne.",[Irish]
AINGEAL,f,AINGEAL   f   IrishIrish cognate of ANGELA.,[Irish]
AINHOA,f,From the name of a town in southwest France where there is a famous image of the Virgin Mary.,[Basque]
AINOA,f,form of AINHOA.,[Spanish]
AINSLEY,f,"From a surname which was from a place name: either Annesley in Nottinghamshire or Ansley in Warwickshire. The place names themselves derive from Old English anne ""alone, solitary"" or ansetl ""hermitage"" and leah ""woodland, clearing"".","[Scottish, English (Modern)]"
AINTZA,f,"Means ""glory"" in Basque.",[Basque]
AIOLOS,m,"Means ""quick-moving, nimble"" in Greek. This was the name of the Greek god of the winds.",[Greek Mythology]
'AISHA,f,'AISHA   f   ArabicVariant transcription of AISHA.,[Arabic]
AISHA,f,"Means ""alive"" in Arabic. This was the name of Muhammad's third wife, the daughter of Abu Bakr. Some time after Muhammad's death she went to war against Ali, the fourth caliph, but was defeated. This name is used more by Sunni Muslims and less by Shias.... [more]","[Arabic, Urdu, American]"
AISHWARYA,f,"Means ""prosperity, wealth"" in Sanskrit. A famous bearer is the Indian actress Aishwarya Rai Bachchan (1973-).","[Indian, Hindi, Marathi, Kannada, Malayalam, Tamil]"
AISLING,f,"Means ""dream"" or ""vision"" in Irish Gaelic. This name was created in the 20th century.",[Irish]
AISYAH,f,form of AISHA.,[Indonesian]
AITHNE,f,variant of EITHNE.,[Irish]
AJAX,m,"From the Greek name Αιας (Aias), perhaps deriving from Greek αιαστης (aiastes) ""mourner"" or αια (aia) ""earth, land"". In Greek mythology this was the name of two of the heroes who fought for the Greeks in the Trojan War, the son of Telamon and the son of Oileus. When the armour of the slain hero Achilles was not given to Ajax Telamonian, he became mad with jealousy and killed himself.",[Greek Mythology (Latinized)]
AJDIN,m,form of AYDIN.,[Bosnian]
AJIT,m,"Means ""unconquered, invincible"", from Sanskrit अ (a) meaning ""not"" and जित (jita) meaning ""conquered"". This is a name of the gods Shiva and Vishnu, and of a future Buddha.","[Indian, Hindi, Marathi, Punjabi, Bengali]"
AJLA,f,form of AYLA  (2).,[Bosnian]
AKAKI,m,form of AKAKIOS.,[Georgian]
AKAMU,m,form of ADAM.,[Hawaiian]
AKANKSHA,f,"Means ""desire, wish"" in Sanskrit.","[Indian, Hindi]"
AKASH,m,"Means ""open space, sky"" in Sanskrit.","[Indian, Hindi, Marathi, Bengali]"
ÅKE,m,form of ÁKI.,[Swedish]
AKEMI,f,"From Japanese 明 (ake) meaning ""bright"" and 美 (mi) meaning ""beautiful"". Other kanji combinations are possible.",[Japanese]
AKHENATON,m,"means ""spirit of ATON"" in Egyptian. Akhenaton was a 14th-century BC Egyptian pharaoh of the New Kingdom, who is best known for promoting the monotheistic worship of the sun god Aton. He changed his name from Amenhotep IV in order to honour the god. After his death polytheism resumed.",[Ancient Egyptian]
AKHILA,f,Feminine form of AKHIL.,"[Indian, Telugu, Malayalam]"
ÁKI,m,"ÁKI   m   Ancient Scandinavian, IcelandicOld Norse diminutive of names containing the element anu ""ancestor, father"".","[Ancient Scandinavian, Icelandic]"
AKI  (2), (2),"From Japanese 晶 (aki) meaning ""clear, crystal"", 明 (aki) meaning ""bright"" or 秋 (aki) meaning ""autumn"". It can also come from 亜 (a) meaning ""second, Asia"" combined with 希 (ki) meaning ""hope"". Other kanji or combinations of kanji can form this name too.",[Japanese]
